Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Sr. Data Scientist,₹10L (Employer Est.),"Be part of team using advanced real-time scaled data aggregation and analysis platform. Learn new tools and techniques. Build Dashboards that real people use and love.
About Company: Lotus Interworks Inc is an advanced technology company with leadership team form Massachusetts Institute of Technology (MIT), Stanford University, and Harvard University. Our product Simplia is re-inventing Online Local Services Marketplaces, with deep technology and strong leadership and strategy in place.
Leadership Team:
Chairman: Ray Stata Founder of Analog Devices (ADI NASDAQ),
President & CEO: B Gopinath. He started as a scientist at Mathematics research center of AT&T bell laboratories. He holds several fundamental patents in communications and computer technologies.
Advisor: Alain Hanover, Senior Partner Elite Engineers Fund, at Alumni Venture Group (AVG recognized by PitchBook as the most active VC firm in the world in 2018).
Bills career includes more than 30yrs of distinguished accomplishments, Including roles as President & CEO of Abine, Radialpoint, and as EVP of McAfee's Worldwide Consumer Business.",3.9,Lotus Interworks Inc,Cochin,-1,-1,-1,-1,-1,-1
"Software Engineer, Machine Learning",-1,"Due to the current health crisis related to COVID-19 and the escalating visa/travel restrictions in place, we're currently unable to extend offers to anyone who cannot work from Bengaluru due to lockdown visa/travel restrictions, or other restrictive measures until further notice. Consequently, we will be prioritizing candidates who can start in this location by set date as expected. We're keeping the situation under review and would adjust our position should the restrictive measures be removed later on.
Minimum qualifications:
Bachelor's degree in Computer Science, or related technical field, or equivalent work experience.
5 years of relevant work experience.
Experience designing and implementing distributed software systems (e.g Java, C++, or Python).
Research or Industry experience in Artificial Intelligence, Machine Learning (ML) models, ML infrastructure, Natural Language Processing or Deep Learning.



Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",4.5,Google,"Bangalore
30d+",-1,-1,-1,-1,-1,-1
Sr. Data Scientist,-1,"Sr. Data Scientist
Job Description
The Sr. Data Scientist will apply his/her strong expertise in machine learning, data mining, and information retrieval to design, prototype and build next generation advanced analytics engine and services. The Data Scientist collaborates with translators to define technical problem statement and hypothesis to test; develops efficient and accurate analytical models that mimic business decisions.
Role & Responsibilities
Design, create, test and implement complex machine learning and deep learning models and algorithms that drive analytical solutions throughout the organization
Work with business managers to frame a problem, both mathematically and within the business context. Perform exploratory data analysis to gain insights about the problem
K-C requires that an employee have authorization to work in the country in which the role is based. In the event an applicant does not have current work authorization, K-C will determine, in its sole discretion, whether to sponsor an individual for work authorization. However, based on immigration requirements, not all roles are suitable for sponsorship.
This role is available for local candidates already authorized to work in the role’s country only. K-C will not provide relocation support for this role.
IT Centre Bengaluru GDTC
Employee
Regular
Full time",4.0,Kimberly-Clark,"Bangalore
New
3d",-1,-1,-1,-1,-1,-1
,₹7L - ₹10L (Glassdoor Est.),"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

Primary Responsibilities:
Uses pertinent data and facts to identify and solve a range of problems within area of expertise
Investigates non- standard requests and problems, with some assistance from others
Works exclusively within a specific knowledge area
Prioritizes and organizes own work to meet deadlines



























4.00-9.00 Years",3.7,Optum,Bangalore,-1,-1,-1,-1,-1,-1
Data Science,₹5L - ₹8L (Glassdoor Est.),"Responsibilities
Design and develop ML / NLP models for the project requirement
Deliver ownership to setup ML / NLP models with respect to tools, data and infrastructure as required
Work closely with Product Owner and Product architect right from ML based solution conceptualization till implementation in response to a client requirement
Thought leadership on building ML/NLP based solution based on client requirements
Lead the ML / NLP dialogue during the customer visits and other partner events
Required Skills & Competencies
Strong knowledge of machine learning / NLP algorithms– Information extraction, named entity recognition, text clustering, Knowledge Graph,text summarization, intent classification, word embeddings, vector space models; experience in developing models
Strong experience in NLP using Python; experience in developing microservices and web services
Understanding of data and data analysis; experience with large data sets
Thorough with pandas, scikit and numpy
4+ years of experience implementing and deploying machine learning and deep learning frameworks (Spark, TensorFlow, Keras, Caffe, etc.) through distribution cluster and application programming in cloud platforms including Azure, IBM, AWS and GCP.
Hands on experience Data Science / Big Data technology and architecture

4.00-13.00 Years",3.8,Larsen & Toubro Infotech Limited,Mumbai,-1,-1,-1,-1,-1,-1
Data Scientist - IT,₹4L - ₹5L (Glassdoor Est.),"P&G was founded over 180 years ago as a simple soap and candle company. Today, we're the world’s largest consumer goods company and home to iconic, trusted brands that make life a little bit easier in small but meaningful ways. We've spanned three centuries thanks to three simple ideas: leadership, innovation and citizenship. The insight, innovation and passion of hardworking teams has helped us grow into a global company that is governed responsibly and ethically, that is open and transparent, and that supports good causes and protects the environment. This is a place where you can be proud to work and do something that matters.
Dedication from Us:
You'll be at the core of breakthrough innovations, be given exciting assignments, lead initiatives, and take ownership and responsibility, in creative work spaces where new ideas flourish. All the while, you'll receive outstanding training to help you become a leader in your field. It is not just about what you'll do, but how you'll feel: encouraged, valued, purposeful, challenged, heard, and inspired.",4.2,Procter & Gamble,Mumbai,-1,-1,-1,-1,-1,-1
Data Scientist,₹3L - ₹6L (Glassdoor Est.),"Founded in 2016 by Mukesh Bansal and Ankit Nagori , Cure.fit is a mobile app that takes a holistic approach towards health and fitness by bringing together all aspects of a healthy lifestyle on a single platform. Cure.fit offers both online and offline experiences across fitness, nutrition and mental well-being through its 4 products, i.e. Cult.fit , Eat.fit , Mind.fit & Care.fit with the aim to make fitness fun and easy

At Cure.fit we leverage statistics and machine learning to power all aspects of our products. From scheduling classes forecasting demand to generating customized plans, data science powers all optimization, personalization and prediction use cases in cure.fit
Responsibility
Work with business & product teams to identify high impact data science problems.
Transform the business problem into a mathematical one to leverage cutting edge techniques in machine learning and optimization.",4.1,Cure Fit,Bangalore,-1,-1,-1,-1,-1,-1
CCO - Data Analytics,₹6L - ₹9L (Glassdoor Est.),"Job Title: - CCO - Data Analytics

Location: Pune

About Barclays
Barclays is a British universal bank. We are diversified by business, by different types of customers and clients, and by geography. Our businesses include consumer banking and payments operations around the world, as well as a top-tier, full service, global corporate and investment bank, all of which are supported by our service company which provides technology, operations and functional services across the Group.",4.0,Barclays,Pune,-1,-1,-1,-1,-1,-1
Data Scientist,₹5L - ₹8L (Employer Est.),"Hi,We are hiring for one of my client,eligible students can apply.
Job Location : Madhapur,Hyd.
Qualification: Any degree with good communication skills.
Required Skills: Python,Datascience
Job Type: Full-time
Salary: ₹500,000.00 - ₹800,000.00 per year
Schedule:
Day shift",-1,Stackapps IT Services Pvt Ltd,Hyderābād,-1,-1,-1,-1,-1,-1
Data Scientist,₹10L - ₹15L (Employer Est.),"We are looking for Data Scientist Preferred Company/Industry: Fintech
Job Location : Mumbai
Salary : 10LPA to 15LPA
2-4 years of experience in data science/analytics, machine learning and data engineering
Key Skills
Experience in data wrangling (SQL, Pandas, DataFrames) and familiarity with various databases
Experience in at least one statistical programming language (R or Python)
Experience in applying statistical techniques (descriptive and inferential statistics, statistical tests)",-1,Voiz works,Mumbai,-1,-1,-1,-1,-1,-1
